DV,Predictor,Beta,p,R2
entropy_mean,Intercept,4.4226,0.0,0.0649
entropy_mean,strategy_code,0.0654,0.0016,0.0649
entropy_mean,length_code,-0.0489,0.1111,0.0649
entropy_mean,specificity_code,-0.0283,0.0004,0.0649
entropy_mean,vocab_code,-0.0283,0.0004,0.0649
entropy_mean,syntax_code,0.0465,0.0122,0.0649
ppl_mean,Intercept,21.5552,0.0,0.0646
ppl_mean,strategy_code,0.9546,0.0014,0.0646
ppl_mean,length_code,-0.7743,0.0794,0.0646
ppl_mean,specificity_code,-0.3894,0.0008,0.0646
ppl_mean,vocab_code,-0.3894,0.0008,0.0646
ppl_mean,syntax_code,0.6542,0.0141,0.0646
t1a_mean,Intercept,0.0077,0.0,0.0019
t1a_mean,strategy_code,0.0004,0.8996,0.0019
t1a_mean,length_code,-0.0012,0.7714,0.0019
t1a_mean,specificity_code,-0.0001,0.9627,0.0019
t1a_mean,vocab_code,-0.0001,0.9627,0.0019
t1a_mean,syntax_code,-0.0003,0.9094,0.0019
sc_mean,Intercept,0.9689,0.0,0.0165
sc_mean,strategy_code,0.0018,0.8365,0.0165
sc_mean,length_code,-0.0182,0.1573,0.0165
sc_mean,specificity_code,0.0075,0.0268,0.0165
sc_mean,vocab_code,0.0075,0.0268,0.0165
sc_mean,syntax_code,-0.0023,0.764,0.0165
ctr_mean,Intercept,0.889,0.0,0.1656
ctr_mean,strategy_code,-0.0203,0.0004,0.1656
ctr_mean,length_code,0.0572,0.0,0.1656
ctr_mean,specificity_code,-0.0104,0.0,0.1656
ctr_mean,vocab_code,-0.0104,0.0,0.1656
ctr_mean,syntax_code,-0.0051,0.3226,0.1656
